from;to;number of trips (with stucking agents, sample size);number of trips (without stucking agents, sample size);average change in trip travel time (with stucking agents) [sec];average change in trip travel time (without stucking agents) [sec];average change in beeline speed (without stucking agents) [m/s]
car;pt;4198.0;4198.0;803.8287279656979;803.8287279656979;-2.8750598178476428
bike;ride;0.0;0.0;NaN;NaN;NaN
car;car;97588.0;97588.0;-31.97806082715088;-31.97806082715088;NaN
ride;ride;0.0;0.0;NaN;NaN;NaN
pt;ride;0.0;0.0;NaN;NaN;NaN
walk;drt;381.0;381.0;-1045.241469816273;-1045.241469816273;0.48251368741194806
walk;bike;0.0;0.0;NaN;NaN;NaN
drt;ride;0.0;0.0;NaN;NaN;NaN
pt;drt;2209.0;2209.0;-1472.620190131281;-1472.620190131281;0.6462132883486974
walk;pt;1808.0;1808.0;155.2599557522124;155.2599557522124;0.0063563417619449305
car;ride;0.0;0.0;NaN;NaN;NaN
drt;pt;0.0;0.0;NaN;NaN;NaN
ride;drt;0.0;0.0;NaN;NaN;NaN
bike;walk;0.0;0.0;NaN;NaN;NaN
pt;bike;0.0;0.0;NaN;NaN;NaN
pt;walk;1497.0;1497.0;-45.28056112224449;-45.28056112224449;-0.05557128186776254
walk;car;1821.0;1821.0;-566.7397034596376;-566.7397034596376;NaN
drt;walk;0.0;0.0;NaN;NaN;NaN
bike;pt;0.0;0.0;NaN;NaN;NaN
bike;drt;0.0;0.0;NaN;NaN;NaN
pt;car;5413.0;5413.0;-722.1620173656013;-722.1620173656013;2.985532647958621
ride;pt;0.0;0.0;NaN;NaN;NaN
bike;bike;0.0;0.0;NaN;NaN;NaN
walk;walk;16946.0;16946.0;0.032987135607222946;0.032987135607222946;-1.3680249060717025E-5
pt;pt;34409.0;34409.0;-8.050568165305588;-8.050568165305588;0.0014358025183839108
drt;drt;0.0;0.0;NaN;NaN;NaN
ride;bike;0.0;0.0;NaN;NaN;NaN
car;bike;0.0;0.0;NaN;NaN;NaN
drt;bike;0.0;0.0;NaN;NaN;NaN
ride;car;0.0;0.0;NaN;NaN;NaN
car;drt;74.0;74.0;1738.6081081081081;1738.6081081081081;-4.104585360887282
bike;car;0.0;0.0;NaN;NaN;NaN
walk;ride;0.0;0.0;NaN;NaN;NaN
drt;car;0.0;0.0;NaN;NaN;NaN
car;walk;1870.0;1870.0;653.5427807486631;653.5427807486631;NaN
ride;walk;0.0;0.0;NaN;NaN;NaN
